Keywords for Tagging / Search Function 
AI 
Allowable Costs
Auditing 
Award 
Budget 
Budget Justification 
Budget Narrative 
Career Development Award 
Cayuse 
CITI 
Clinical Trial 
Collaborative Research Agreement
Compliance
Conflict of Interest 
Consultant 
Cost Transfer
Data & Safety Monitoring Board (DSMB) 
Data Management & Sharing Plan (DMSP)
Data Safety & Monitoring Plan (DSMP) 
Data Transfer & Use Agreement (DTUA) 
Department of Defense
Department of Education
Department of Energy 
Department of Health & Human Services 
Department of Justice
Direct Cost
Environmental Protection Agency (EPA)
Environmental Health & Safety 
Equipment
ERA Commons 
Export Controls 
Facilities 
Facilities & Administration Cost (F&A) 
FDA 
Federal Grant 
FERPA 
Fiscal Year (FY)
Foundation Grant
Fringe Benefits
Gift Cards
Grant Officer 
Grants.gov
Human Subjects 
Indemnification
iEDISON
In-Kind Cost Share
Indirect Cost
Institutional Base Salary 
Institutional Biosafety Committee (IBC)
Institutional Review Board (IRB)
Intellectual Property (IP)
Internal Revenue Code
Just-In-Time (JIT) 
K Award
Letter of Intent
Mandatory Cost Sharing
Material Transfer & Usa Agreement (MTUA)
Modifications 
National Institute of Health (NIH) 
National Science Foundation (NSF) 
Non-Disclosure Agreement (NDA) 
P Grants 
Patent 
Percent Effort
Post-Award
Pre-Award
Procurement
Project Period
Proposal Development
Proposal Routing Form 
Qualtrics
R01
R03
R13
R15
R21
REDCap
Research Misconduct 
SBIR
Small Business Technology Transfer (STTR)
Sponsored Research Agreement (SRA) 
Stipend
Study Closure 
Subagreement
Subcontract
Subrecipient 
Survey
System for Award Management (SAM) 
USDA 
Waiver of Liability 
